year,type,B,L,bonus,s179,indexation
2000,pt,macrs,macrs,0,tcja_pt,none
2001,pt,macrs,macrs,0,tcja_pt,none
2002,pt,macrs,macrs,20,tcja_pt,none
2003,pt,macrs,macrs,30,tcja_pt,none
2004,pt,macrs,macrs,30,tcja_pt,none
2005,pt,macrs,macrs,0,tcja_pt,none
2006,pt,macrs,macrs,0,tcja_pt,none
2007,pt,macrs,macrs,0,tcja_pt,none
2008,pt,macrs,macrs,50,tcja_pt,none
2009,pt,macrs,macrs,50,tcja_pt,none
2010,pt,macrs,macrs,100,tcja_pt,none
2011,pt,macrs,macrs,100,tcja_pt,none
2012,pt,macrs,macrs,50,tcja_pt,none
2013,pt,macrs,macrs,50,tcja_pt,none
2014,pt,macrs,macrs,50,tcja_pt,none
2015,pt,macrs,macrs,50,tcja_pt,none
2016,pt,macrs,macrs,50,tcja_pt,none
2017,pt,macrs,macrs,50,tcja_pt,none
2018,pt,macrs,macrs,100,tcja_pt,none
2019,pt,macrs,macrs,100,tcja_pt,none
2020,pt,macrs,macrs,100,tcja_pt,none
2021,pt,macrs,macrs,100,tcja_pt,none
2022,pt,macrs,macrs,100,tcja_pt,none
2023,pt,macrs,macrs,80,tcja_pt,none
2024,pt,macrs,macrs,60,tcja_pt,none
2025,pt,macrs,macrs,40,tcja_pt,none
2026,pt,macrs,macrs,20,tcja_pt,none
2027,pt,macrs,macrs,0,tcja_pt,none
2000,ccorp,macrs,macrs,0,tcja_ccorp,none
2001,ccorp,macrs,macrs,0,tcja_ccorp,none
2002,ccorp,macrs,macrs,20,tcja_ccorp,none
2003,ccorp,macrs,macrs,30,tcja_ccorp,none
2004,ccorp,macrs,macrs,30,tcja_ccorp,none
2005,ccorp,macrs,macrs,0,tcja_ccorp,none
2006,ccorp,macrs,macrs,0,tcja_ccorp,none
2007,ccorp,macrs,macrs,0,tcja_ccorp,none
2008,ccorp,macrs,macrs,50,tcja_ccorp,none
2009,ccorp,macrs,macrs,50,tcja_ccorp,none
2010,ccorp,macrs,macrs,100,tcja_ccorp,none
2011,ccorp,macrs,macrs,100,tcja_ccorp,none
2012,ccorp,macrs,macrs,50,tcja_ccorp,none
2013,ccorp,macrs,macrs,50,tcja_ccorp,none
2014,ccorp,macrs,macrs,50,tcja_ccorp,none
2015,ccorp,macrs,macrs,50,tcja_ccorp,none
2016,ccorp,macrs,macrs,50,tcja_ccorp,none
2017,ccorp,macrs,macrs,50,tcja_ccorp,none
2018,ccorp,macrs,macrs,100,tcja_ccorp,none
2019,ccorp,macrs,macrs,100,tcja_ccorp,none
2020,ccorp,macrs,macrs,100,tcja_ccorp,none
2021,ccorp,macrs,macrs,100,tcja_ccorp,none
2022,ccorp,macrs,macrs,100,tcja_ccorp,none
2023,ccorp,macrs,macrs,80,tcja_ccorp,none
2024,ccorp,macrs,macrs,60,tcja_ccorp,none
2025,ccorp,macrs,macrs,40,tcja_ccorp,none
2026,ccorp,macrs,macrs,20,tcja_ccorp,none
2027,ccorp,macrs,macrs,0,tcja_ccorp,none
