form,year,B,L,bonus,s179,indexation,tax_rate
pt,2000,macrs,macrs,0,tcja_pt,none,0.25
pt,2001,macrs,macrs,0,tcja_pt,none,0.25
pt,2002,macrs,macrs,20,tcja_pt,none,0.25
pt,2003,macrs,macrs,30,tcja_pt,none,0.25
pt,2004,macrs,macrs,30,tcja_pt,none,0.25
pt,2005,macrs,macrs,0,tcja_pt,none,0.25
pt,2006,macrs,macrs,0,tcja_pt,none,0.25
pt,2007,macrs,macrs,0,tcja_pt,none,0.25
pt,2008,macrs,macrs,50,tcja_pt,none,0.25
pt,2009,macrs,macrs,50,tcja_pt,none,0.25
pt,2010,macrs,macrs,100,tcja_pt,none,0.25
pt,2011,macrs,macrs,100,tcja_pt,none,0.25
pt,2012,macrs,macrs,50,tcja_pt,none,0.25
pt,2013,macrs,macrs,50,tcja_pt,none,0.25
pt,2014,macrs,macrs,50,tcja_pt,none,0.25
pt,2015,macrs,macrs,50,tcja_pt,none,0.25
pt,2016,macrs,macrs,50,tcja_pt,none,0.25
pt,2017,macrs,macrs,50,tcja_pt,none,0.25
pt,2018,macrs,macrs,100,tcja_pt,none,0.25
pt,2019,macrs,macrs,100,tcja_pt,none,0.25
pt,2020,macrs,macrs,100,tcja_pt,none,0.25
pt,2021,macrs,macrs,100,tcja_pt,none,0.25
pt,2022,macrs,macrs,100,tcja_pt,none,0.25
pt,2023,macrs,macrs,80,tcja_pt,none,0.25
pt,2024,macrs,macrs,60,tcja_pt,none,0.25
pt,2025,macrs,macrs,100,tcja_pt,none,0.25
pt,2026,macrs,macrs,100,tcja_pt,none,0.3
pt,2027,macrs,macrs,100,tcja_pt,none,0.3
pt,2028,macrs,macrs,100,tcja_pt,none,0.3
pt,2029,macrs,macrs,100,tcja_pt,none,0.3
pt,2030,macrs,macrs,80,tcja_pt,none,0.3
pt,2031,macrs,macrs,60,tcja_pt,none,0.3
pt,2032,macrs,macrs,40,tcja_pt,none,0.3
pt,2033,macrs,macrs,20,tcja_pt,none,0.3
pt,2034,macrs,macrs,0,tcja_pt,none,0.3
ccorp,2000,macrs,macrs,0,tcja_ccorp,none,0.21
ccorp,2001,macrs,macrs,0,tcja_ccorp,none,0.21
ccorp,2002,macrs,macrs,20,tcja_ccorp,none,0.21
ccorp,2003,macrs,macrs,30,tcja_ccorp,none,0.21
ccorp,2004,macrs,macrs,30,tcja_ccorp,none,0.21
ccorp,2005,macrs,macrs,0,tcja_ccorp,none,0.21
ccorp,2006,macrs,macrs,0,tcja_ccorp,none,0.21
ccorp,2007,macrs,macrs,0,tcja_ccorp,none,0.21
ccorp,2008,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2009,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2010,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2011,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2012,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2013,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2014,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2015,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2016,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2017,macrs,macrs,50,tcja_ccorp,none,0.21
ccorp,2018,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2019,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2020,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2021,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2022,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2023,macrs,macrs,80,tcja_ccorp,none,0.21
ccorp,2024,macrs,macrs,60,tcja_ccorp,none,0.21
ccorp,2025,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2026,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2027,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2028,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2029,macrs,macrs,100,tcja_ccorp,none,0.21
ccorp,2030,macrs,macrs,80,tcja_ccorp,none,0.21
ccorp,2031,macrs,macrs,60,tcja_ccorp,none,0.21
ccorp,2032,macrs,macrs,40,tcja_ccorp,none,0.21
ccorp,2033,macrs,macrs,20,tcja_ccorp,none,0.21
ccorp,2034,macrs,macrs,0,tcja_ccorp,none,0.21
