form,year,B,L,bonus,s179,indexation
pt,2000,macrs,macrs,0,tcja_pt,none
pt,2001,macrs,macrs,0,tcja_pt,none
pt,2002,macrs,macrs,20,tcja_pt,none
pt,2003,macrs,macrs,30,tcja_pt,none
pt,2004,macrs,macrs,30,tcja_pt,none
pt,2005,macrs,macrs,0,tcja_pt,none
pt,2006,macrs,macrs,0,tcja_pt,none
pt,2007,macrs,macrs,0,tcja_pt,none
pt,2008,macrs,macrs,50,tcja_pt,none
pt,2009,macrs,macrs,50,tcja_pt,none
pt,2010,macrs,macrs,100,tcja_pt,none
pt,2011,macrs,macrs,100,tcja_pt,none
pt,2012,macrs,macrs,50,tcja_pt,none
pt,2013,macrs,macrs,50,tcja_pt,none
pt,2014,macrs,macrs,50,tcja_pt,none
pt,2015,macrs,macrs,50,tcja_pt,none
pt,2016,macrs,macrs,50,tcja_pt,none
pt,2017,macrs,macrs,50,tcja_pt,none
pt,2018,macrs,macrs,100,tcja_pt,none
pt,2019,macrs,macrs,100,tcja_pt,none
pt,2020,macrs,macrs,100,tcja_pt,none
pt,2021,macrs,macrs,100,tcja_pt,none
pt,2022,macrs,macrs,100,tcja_pt,none
pt,2023,macrs,macrs,100,tcja_pt,none
pt,2024,macrs,macrs,100,tcja_pt,none
pt,2025,macrs,macrs,100,tcja_pt,none
pt,2026,macrs,macrs,20,tcja_pt,none
pt,2027,macrs,macrs,0,tcja_pt,none
ccorp,2000,macrs,macrs,0,tcja_ccorp,none
ccorp,2001,macrs,macrs,0,tcja_ccorp,none
ccorp,2002,macrs,macrs,20,tcja_ccorp,none
ccorp,2003,macrs,macrs,30,tcja_ccorp,none
ccorp,2004,macrs,macrs,30,tcja_ccorp,none
ccorp,2005,macrs,macrs,0,tcja_ccorp,none
ccorp,2006,macrs,macrs,0,tcja_ccorp,none
ccorp,2007,macrs,macrs,0,tcja_ccorp,none
ccorp,2008,macrs,macrs,50,tcja_ccorp,none
ccorp,2009,macrs,macrs,50,tcja_ccorp,none
ccorp,2010,macrs,macrs,100,tcja_ccorp,none
ccorp,2011,macrs,macrs,100,tcja_ccorp,none
ccorp,2012,macrs,macrs,50,tcja_ccorp,none
ccorp,2013,macrs,macrs,50,tcja_ccorp,none
ccorp,2014,macrs,macrs,50,tcja_ccorp,none
ccorp,2015,macrs,macrs,50,tcja_ccorp,none
ccorp,2016,macrs,macrs,50,tcja_ccorp,none
ccorp,2017,macrs,macrs,50,tcja_ccorp,none
ccorp,2018,macrs,macrs,100,tcja_ccorp,none
ccorp,2019,macrs,macrs,100,tcja_ccorp,none
ccorp,2020,macrs,macrs,100,tcja_ccorp,none
ccorp,2021,macrs,macrs,100,tcja_ccorp,none
ccorp,2022,macrs,macrs,100,tcja_ccorp,none
ccorp,2023,macrs,macrs,100,tcja_ccorp,none
ccorp,2024,macrs,macrs,100,tcja_ccorp,none
ccorp,2025,macrs,macrs,100,tcja_ccorp,none
ccorp,2026,macrs,macrs,20,tcja_ccorp,none
ccorp,2027,macrs,macrs,0,tcja_ccorp,none
