industry,standard_industry,major_industry
Farms,Farms,Agriculture
"Forestry,_Fishing,_and_Related_Activites","Forestry,_Fishing,_and_Related_Activites",Agriculture
Oil_and_Gas_Extraction,Oil_and_Gas_Extraction,Mining
Mining_(Except_Oil_and_Gas),Mining_(Except_Oil_and_Gas),Mining
Support_Activities_For_Mining,Support_Activities_For_Mining,Mining
Hydroelectric_Power_Generation,Electric_Power,Utilities
Nuclear_Electric_Power_Generation,Electric_Power,Utilities
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Electric_Power,Utilities
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Electric_Power,Utilities
Other_Electric_Power_Generation,Electric_Power,Utilities
Electric_Power_Transmission_and_Distribution,Electric_Power,Utilities
Natural_Gas_Distribution_and_Transmission,Natural_Gas_Distribution_and_Transmission,Utilities
Water_and_Sewer_Systems,Water_and_Sewer_Systems,Utilities
Construction,Construction,Construction
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food_Manufacturing,Manufacturing
Other_Food_Products_Manufacturing,Food_Manufacturing,Manufacturing
Beverage_and_Tobacco_Products_Manufacturing,Beverage_and_Tobacco_Products_Manufacturing,Manufacturing
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile_and_Textile_Product_Mills,Manufacturing
Other_Textile_and_Textile_Product_Mills,Textile_and_Textile_Product_Mills,Manufacturing
Apparel_Manufacturing,"Apparel,_Leather,_and_Allied_Products_Manufacturing",Manufacturing
Leather_and_Allied_Products_Manufacturing,"Apparel,_Leather,_and_Allied_Products_Manufacturing",Manufacturing
Wood_Product_Manufacturing,Wood_Product_Manufacturing,Manufacturing
Paper_Manufacturing,Paper_Manufacturing,Manufacturing
Printing_and_Related_Support_Activities,Printing_and_Related_Support_Activities,Manufacturing
Petroleum_Refining,Petroleum_and_Coal_Products_Manufacturing,Manufacturing
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum_and_Coal_Products_Manufacturing,Manufacturing
Chemical_Manufacturing,Chemical_Manufacturing,Manufacturing
Plastics_and_Rubber_Products_Manufacturing,Plastics_and_Rubber_Products_Manufacturing,Manufacturing
Glass_Products_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,Manufacturing
Cement_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,Manufacturing
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,Manufacturing
Primary_Ferrous_Metal_Manufacturing,Primary_Metal_Manufacturing,Manufacturing
Primary_Nonferrous_Metal_Manufacturing,Primary_Metal_Manufacturing,Manufacturing
Fabricated_Metal_Product_Manufacturing,Fabricated_Metal_Product_Manufacturing,Manufacturing
Machinery_Manufacturing,Machinery_Manufacturing,Manufacturing
Computer_and_Electronic_Product_Manufacturing,Computer_and_Electronic_Product_Manufacturing,Manufacturing
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Manufacturing
Motor_Vehicle_and_Parts_Manufacturing,Motor_Vehicle_and_Parts_Manufacturing,Manufacturing
Ships_and_Boats_Manufacturing,Other_Transportation_Equipment_Manufacturing,Manufacturing
Other_Transportation_Equipment_Manufacturing,Other_Transportation_Equipment_Manufacturing,Manufacturing
Furniture_and_Related_Products_Manufacturing,Furniture_and_Related_Products_Manufacturing,Manufacturing
Medical_and_Dental_Supplies_Manufacturing,Medical_and_Dental_Supplies_Manufacturing,Manufacturing
Other_Miscellaneous_Manufacturing,Other_Miscellaneous_Manufacturing,Manufacturing
Wholesale_Durable_Goods,Wholesale_Durable_Goods,Wholesale and Retail Trade
Wholesale_Nondurable_Goods,Wholesale_Nondurable_Goods,Wholesale and Retail Trade
Motor_Vehicle_and_Parts_Dealers,Motor_Vehicle_and_Parts_Dealers,Wholesale and Retail Trade
Food_and_Beverages_Stores,Food_and_Beverages_Stores,Wholesale and Retail Trade
General_Merchandise_Stores,General_Merchandise_Stores,Wholesale and Retail Trade
Gas_Stations,Other_Retail,Wholesale and Retail Trade
Other_Non_Gas_Stations_Retail,Other_Retail,Wholesale and Retail Trade
Air_Transportation,Air_Transportation,Transportation and Warehousing
Rail_Transportation,Rail_Transportation,Transportation and Warehousing
Water_Transportation,Water_Transportation,Transportation and Warehousing
Truck_Transportation,Truck_Transportation,Transportation and Warehousing
Transit_and_Ground_Passenger_Transportation,Transit_and_Ground_Passenger_Transportation,Transportation and Warehousing
Pipeline_Transportation,Pipeline_Transportation,Transportation and Warehousing
Other_Transportation_and_Support_Activities,Other_Transportation_and_Support_Activities,Transportation and Warehousing
Warehousing_and_Storage,Warehousing_and_Storage,Transportation and Warehousing
Publishing_Industries_(Except_Internet),Publishing_Industries_(Except_Internet),Information and Finance
Movie_Theaters,Motion_Picture_and_Sound_Recording_Industries,Information and Finance
Other_Motion_Picture_and_Sound_Recording,Motion_Picture_and_Sound_Recording_Industries,Information and Finance
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting_(Except_Internet)_and_Telecommunications,Information and Finance
Telephone_Communication,Broadcasting_(Except_Internet)_and_Telecommunications,Information and Finance
Cable_Television,Broadcasting_(Except_Internet)_and_Telecommunications,Information and Finance
Other_Telecommunication,Broadcasting_(Except_Internet)_and_Telecommunications,Information and Finance
Information_and_Data_Processing,"Data_Processing,_Hosting,_and_Other_Information_Services",Information and Finance
Depository_Credit_Intermediation,Depository_Credit_Intermediation,Information and Finance
Other_Intermediation,Other_Intermediation,Information and Finance
Nondepository_Credit_Intermediation,Nondepository_Credit_Intermediation,Information and Finance
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Information and Finance
Insurance_Carriers,Insurance_Carriers,Information and Finance
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance_Agencies_and_Brokers_and_Related_Services,Information and Finance
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds,_Trusts,_and_Other_Financial_Vehicles_",Information and Finance
Real_Estate,Real_Estate,Real Estate
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Real Estate
Legal_Services,Legal_Services,Professional Services
Computer_Systems_Design_and_Related_Services,Computer_Systems_Design_and_Related_Services,Professional Services
"Other_Professional,_Scientific,_and_Technical_Services","Other_Professional,_Scientific,_and_Technical_Services",Professional Services
Management_Of_Companies_and_Enterprises,Management_Of_Companies_and_Enterprises,Professional Services
Administrative_and_Support_Services,Administrative_and_Support_Services,Professional Services
Waste_Management_and_Remediation_Services,Waste_Management_and_Remediation_Services,Professional Services
Educational_Services,Educational_Services,Education and Health
Ambulatory_Health_Care_Services,Ambulatory_Health_Care_Services,Education and Health
Hospitals,Hospitals,Education and Health
Nursing_and_Residential_Care_Facilities,Nursing_and_Residential_Care_Facilities,Education and Health
Social_Assistance,Social_Assistance,Education and Health
"Independent_Artists,_Writers,_and_Performers","Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",Leisure and Hospitality
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",Leisure and Hospitality
Amusement_Parks,"Amusement,_Gambling,_and_Recreation_Services",Leisure and Hospitality
Gambling_and_Bowling,"Amusement,_Gambling,_and_Recreation_Services",Leisure and Hospitality
Other_Recreation_Services,"Amusement,_Gambling,_and_Recreation_Services",Leisure and Hospitality
Accomodation,Accomodation,Leisure and Hospitality
Food_Services_and_Drinking_Places,Food_Services_and_Drinking_Places,Leisure and Hospitality
Other_Services_(Except_Public_Administration),Other_Services_(Except_Public_Administration),Professional Services
